Parameter,Value,Accuracy,Precision,Recall,Objective
restitution,0.3,0.70446735395189,1,0.292181069958848,0.66944126256841
restitution,0.4,0.745704467353952,1,0.390946502057613,0.715565737558865
restitution,0.5,0.754295532646048,1,0.411522633744856,0.725175003181876
restitution,0.55,0.821305841924399,0.966442953020134,0.592592592592593,0.796233000453578
,,,,,
lateralFriction,0.31,0.70446735395189,1,0.292181069958848,0.66944126256841
lateralFriction,0.41,0.745704467353952,1,0.390946502057613,0.715565737558865
lateralFriction,0.51,0.754295532646048,1,0.411522633744856,0.725175003181876
lateralFriction,0.55,0.821305841924399,0.966442953020134,0.592592592592593,0.796233000453578
lateralFriction,0.01,,,,
lateralFriction,0.11,,,,
lateralFriction,0.21,,,,
lateralFriction,0.31,,,,
lateralFriction,0.41,,,,
lateralFriction,0.5,,,,
