sim_no,restitution,lateral Friction,spinning Friction,contact Damping,contact Stiffness,Accuracy,Precision,Recall,F1 Score
1,0.2,0.5,0.1,10000,1000000,0.8055077452667814,0.9642857142857143,0.5555555555555556,0.7049608355091384
2,0.4,0.5,0.1,10000,1000000,0.8072289156626506,0.9712230215827338,0.5555555555555556,0.7068062827225131
3,0.6,0.5,0.1,10000,1000000,0.8072289156626506,0.9712230215827338,0.5555555555555556,0.7068062827225131
4,0.8,0.5,0.1,10000,1000000,0.8072289156626506,0.9712230215827338,0.5555555555555556,0.7068062827225131
5,0.3,0.01,0.1,10000,1000000,0.41824440619621345,0.41824440619621345,1.0,0.5898058252427185
6,0.3,0.11,0.1,10000,1000000,0.7142857142857143,0.6666666666666666,0.6337448559670782,0.649789029535865
7,0.3,0.21,0.1,10000,1000000,0.7160068846815835,0.9148936170212766,0.35390946502057613,0.5103857566765578
8,0.3,0.31,0.1,10000,1000000,0.7607573149741824,0.9262295081967213,0.46502057613168724,0.6191780821917808
9,0.3,0.41,0.1,10000,1000000,0.7934595524956971,0.9694656488549618,0.522633744855967,0.6791443850267379
10,0.3,0.5,0.01,10000,1000000,0.8123924268502581,0.9785714285714285,0.5637860082304527,0.7154046997389033
11,0.3,0.5,0.11,10000,1000000,0.8072289156626506,0.9781021897810219,0.551440329218107,0.7052631578947368
12,0.3,0.5,0.21,10000,1000000,0.8072289156626506,0.9645390070921985,0.5596707818930041,0.7083333333333333
13,0.3,0.5,0.31,10000,1000000,0.8072289156626506,0.9781021897810219,0.551440329218107,0.7052631578947368
14,0.3,0.5,0.41,10000,1000000,0.8072289156626506,0.9781021897810219,0.551440329218107,0.7052631578947368
15,0.3,0.5,0.1,1000,1000000,0.7401032702237521,0.6419753086419753,0.8559670781893004,0.7336860670194004
16,0.3,0.5,0.1,10000,1000000,0.8072289156626506,0.9712230215827338,0.5555555555555556,0.7068062827225131
17,0.3,0.5,0.1,100000,1000000,0.6919104991394148,1.0,0.26337448559670784,0.4169381107491857
18,0.3,0.5,0.1,1000000,1000000,0.7538726333907056,1.0,0.411522633744856,0.5830903790087464
19,0.3,0.5,0.1,10000000,1000000,0.76592082616179,0.9652173913043478,0.4567901234567901,0.6201117318435754
20,0.3,0.5,0.1,10000,10000,0.41824440619621345,0.41824440619621345,1.0,0.5898058252427185
21,0.3,0.5,0.1,10000,100000,0.41824440619621345,0.41824440619621345,1.0,0.5898058252427185
22,0.3,0.5,0.1,10000,1000000,0.8072289156626506,0.9712230215827338,0.5555555555555556,0.7068062827225131
23,0.3,0.5,0.1,10000,10000000,0.43373493975903615,0.4234875444839858,0.9794238683127572,0.591304347826087
24,0.3,0.5,0.1,10000,100000000,0.41824440619621345,0.41824440619621345,1.0,0.5898058252427185
